Record Type,Fuel Type,County,Registration Class
BOAT,OTHER   ,CLINTON     ,12
VEH ,DIESEL  ,NEW YORK    ,6862
BOAT,FLEX    ,ONONDAGA    ,10
BOAT,FLEX    ,SCHUYLER    ,2
BOAT,FLEX    ,LIVINGSTON  ,3
VEH ,FLEX    ,BROOME      ,79
VEH ,PROPANE ,ONEIDA      ,38
VEH ,OTHER   ,MADISON     ,2
VEH ,GAS     ,DUTCHESS    ,218386
VEH ,FLEX    ,SENECA      ,23
BOAT,NONE    ,RICHMOND    ,64
TRL ,NONE    ,ERIE        ,59168
VEH ,COMP N/G,CHEMUNG     ,3
VEH ,NONE    ,CLINTON     ,288
BOAT,GAS     ,WARREN      ,6047
BOAT,DIESEL  ,KINGS       ,351
BOAT,NONE    ,MADISON     ,15
BOAT,ELECTRIC,GREENE      ,90
VEH ,DIESEL  ,GREENE      ,2686
TRL ,GAS     ,ONONDAGA    ,4
VEH ,OTHER   ,OTSEGO      ,3
VEH ,ELECTRIC,KINGS       ,1010
VEH ,NONE    ,ORLEANS     ,181
BOAT,NONE    ,DELAWARE    ,23
VEH ,OTHER   ,OUT-OF-STATE,5
VEH ,OTHER   ,DELAWARE    ,2
BOAT,OTHER   ,ORLEANS     ,1
BOAT,FLEX    ,SULLIVAN    ,2
BOAT,NONE    ,OTSEGO      ,22
BOAT,ELECTRIC,NEW YORK    ,85
VEH ,FLEX    ,JEFFERSON   ,24
BOAT,NONE    ,OUT-OF-STATE,62
BOAT,FLEX    ,ORANGE      ,10
BOAT,ELECTRIC,SCHOHARIE   ,83
VEH ,ELECTRIC,QUEENS      ,900
TRL ,NONE    ,ESSEX       ,7135
TRL ,NONE    ,TOMPKINS    ,8041
VEH ,NONE    ,MONTGOMERY  ,83
BOAT,NONE    ,WESTCHESTER ,109
BOAT,DIESEL  ,WAYNE       ,72
BOAT,ELECTRIC,GENESEE     ,54
VEH ,DIESEL  ,COLUMBIA    ,3594
BOAT,DIESEL  ,SARATOGA    ,69
BOAT,FLEX    ,CATTARAUGUS ,2
BOAT,GAS     ,NASSAU      ,22990
TRL ,NONE    ,WASHINGTON  ,9493
VEH ,OTHER   ,WESTCHESTER ,20
VEH ,PROPANE ,JEFFERSON   ,1
BOAT,OTHER   ,MONTGOMERY  ,3
VEH ,COMP N/G,FRANKLIN    ,2
VEH ,COMP N/G,OSWEGO      ,2
VEH ,GAS     ,NIAGARA     ,149091
BOAT,NONE    ,PUTNAM      ,23
VEH ,PROPANE ,SENECA      ,6
BOAT,GAS     ,LEWIS       ,1731
BOAT,ELECTRIC,COLUMBIA    ,95
VEH ,NONE    ,YATES       ,70
VEH ,ELECTRIC,SARATOGA    ,184
VEH ,FLEX    ,ONEIDA      ,49
VEH ,PROPANE ,BROOME      ,28
VEH ,ELECTRIC,WAYNE       ,31
VEH ,DIESEL  ,GENESEE     ,3635
VEH ,OTHER   ,PUTNAM      ,1
BOAT,GAS     ,CAYUGA      ,4343
BOAT,OTHER   ,YATES       ,10
BOAT,DIESEL  ,QUEENS      ,290
VEH ,DIESEL  ,SCHOHARIE   ,2171
BOAT,NONE    ,FULTON      ,18
VEH ,DIESEL  ,ORANGE      ,12581
VEH ,COMP N/G,CAYUGA      ,5
BOAT,GAS     ,ULSTER      ,3823
VEH ,FLEX    ,WAYNE       ,12
VEH ,DIESEL  ,CATTARAUGUS ,3698
VEH ,ELECTRIC,ONEIDA      ,74
VEH ,FLEX    ,SARATOGA    ,31
BOAT,FLEX    ,COLUMBIA    ,1
TRL ,NONE    ,ST LAWRENCE ,21308
TRL ,NONE    ,ONTARIO     ,16004
BOAT,GAS     ,OSWEGO      ,7038
BOAT,GAS     ,FRANKLIN    ,3311
VEH ,NONE    ,BRONX       ,18
VEH ,COMP N/G,NASSAU      ,667
BOAT,ELECTRIC,CATTARAUGUS ,105
BOAT,DIESEL  ,ONEIDA      ,37
TRL ,NONE    ,WYOMING     ,7478
VEH ,FLEX    ,QUEENS      ,95
VEH ,PROPANE ,KINGS       ,28
BOAT,OTHER   ,BRONX       ,7
BOAT,ELECTRIC,ORANGE      ,855
VEH ,DIESEL  ,TIOGA       ,2404
VEH ,DIESEL  ,ONONDAGA    ,14398
VEH ,ELECTRIC,JEFFERSON   ,29
BOAT,FLEX    ,NEW YORK    ,5
VEH ,DIESEL  ,SCHUYLER    ,1148
VEH ,DIESEL  ,LIVINGSTON  ,3181
BOAT,DIESEL  ,BROOME      ,32
VEH ,GAS     ,HERKIMER    ,43764
BOAT,ELECTRIC,SULLIVAN    ,355
BOAT,DIESEL  ,SENECA      ,10
VEH ,FLEX    ,KINGS       ,67
VEH ,PROPANE ,QUEENS      ,19
VEH ,COMP N/G,WARREN      ,1
VEH ,GAS     ,CHENANGO    ,35958
TRL ,NONE    ,MONROE      ,47338
VEH ,PROPANE ,WAYNE       ,7
BOAT,OTHER   ,RENSSELAER  ,24
BOAT,GAS     ,CHEMUNG     ,2974
VEH ,GAS     ,CORTLAND    ,30118
VEH ,ELECTRIC,SENECA      ,10
VEH ,DIESEL  ,SULLIVAN    ,3872
TRL ,NONE    ,STEUBEN     ,14630
VEH ,ELECTRIC,BROOME      ,149
VEH ,PROPANE ,SARATOGA    ,11
BOAT,ELECTRIC,LIVINGSTON  ,62
BOAT,ELECTRIC,SCHUYLER    ,24
BOAT,ELECTRIC,ONONDAGA    ,234
BOAT,DIESEL  ,JEFFERSON   ,75
BOAT,ELECTRIC,TIOGA       ,68
VEH ,NONE    ,RENSSELAER  ,172
VEH ,GAS     ,CHAUTAUQUA  ,85478
VEH ,OTHER   ,GENESEE     ,1
VEH ,DIESEL  ,PUTNAM      ,3921
TRL ,NONE    ,ULSTER      ,15844
BOAT,DIESEL  ,YATES       ,7
BOAT,OTHER   ,QUEENS      ,17
VEH ,FLEX    ,BRONX       ,22
VEH ,OTHER   ,SCHOHARIE   ,3
VEH ,ELECTRIC,MONTGOMERY  ,15
BOAT,ELECTRIC,WESTCHESTER ,142
BOAT,NONE    ,GENESEE     ,7
BOAT,NONE    ,SCHOHARIE   ,7
BOAT,GAS     ,ST LAWRENCE ,8343
VEH ,NONE    ,QUEENS      ,1142
BOAT,OTHER   ,SARATOGA    ,46
BOAT,GAS     ,ONTARIO     ,6315
BOAT,COMP N/G,SUFFOLK     ,2
TRL ,NONE    ,OSWEGO      ,19836
TRL ,NONE    ,FRANKLIN    ,8744
BOAT,FLEX    ,FULTON      ,2
VEH ,GAS     ,ROCKLAND    ,207472
VEH ,NONE    ,WAYNE       ,206
VEH ,DIESEL  ,WESTCHESTER ,20660
VEH ,COMP N/G,WASHINGTON  ,6
BOAT,DIESEL  ,MONTGOMERY  ,4
BOAT,GAS     ,WYOMING     ,1381
VEH ,NONE    ,SARATOGA    ,357
VEH ,ELECTRIC,YATES       ,8
BOAT,NONE    ,COLUMBIA    ,20
VEH ,PROPANE ,RENSSELAER  ,26
BOAT,ELECTRIC,PUTNAM      ,63
VEH ,COMP N/G,TOMPKINS    ,8
BOAT,OTHER   ,WAYNE       ,11
VEH ,COMP N/G,ESSEX       ,1
VEH ,DIESEL  ,DELAWARE    ,2973
BOAT,DIESEL  ,ORLEANS     ,21
BOAT,ELECTRIC,MADISON     ,95
BOAT,NONE    ,GREENE      ,24
VEH ,ELECTRIC,CLINTON     ,41
VEH ,DIESEL  ,OTSEGO      ,2848
VEH ,OTHER   ,GREENE      ,1
BOAT,ELECTRIC,RICHMOND    ,128
VEH ,DIESEL  ,OUT-OF-STATE,9878
VEH ,FLEX    ,RENSSELAER  ,61
VEH ,GAS     ,SCHENECTADY ,114817
BOAT,NONE    ,NEW YORK    ,71
BOAT,ELECTRIC,OUT-OF-STATE,128
VEH ,DIESEL  ,RICHMOND    ,4846
VEH ,PROPANE ,BRONX       ,3
VEH ,COMP N/G,ERIE        ,242
BOAT,GAS     ,MONROE      ,22186
BOAT,OTHER   ,KINGS       ,25
TRL ,NONE    ,CHEMUNG     ,9676
BOAT,ELECTRIC,OTSEGO      ,128
BOAT,DIESEL  ,CLINTON     ,33
VEH ,OTHER   ,NEW YORK    ,44
BOAT,GAS     ,STEUBEN     ,3955
VEH ,DIESEL  ,MADISON     ,3121
VEH ,NONE    ,KINGS       ,238
BOAT,ELECTRIC,DELAWARE    ,80
VEH ,ELECTRIC,ORLEANS     ,10
BOAT,FLEX    ,DELAWARE    ,2
VEH ,FLEX    ,ORLEANS     ,12
VEH ,OTHER   ,SULLIVAN    ,24
VEH ,PROPANE ,MONTGOMERY  ,4
BOAT,PROPANE ,WESTCHESTER ,3
BOAT,OTHER   ,JEFFERSON   ,16
VEH ,COMP N/G,STEUBEN     ,2
VEH ,COMP N/G,MONROE      ,109
BOAT,GAS     ,ERIE        ,20273
BOAT,NONE    ,SULLIVAN    ,75
VEH ,GAS     ,ALBANY      ,214166
TRL ,NONE    ,WARREN      ,9383
BOAT,DIESEL  ,RENSSELAER  ,35
BOAT,FLEX    ,OUT-OF-STATE,10
VEH ,NONE    ,JEFFERSON   ,319
BOAT,NONE    ,SCHUYLER    ,14
BOAT,NONE    ,LIVINGSTON  ,17
BOAT,NONE    ,ONONDAGA    ,77
BOAT,NONE    ,TIOGA       ,14
VEH ,ELECTRIC,RENSSELAER  ,108
BOAT,FLEX    ,RICHMOND    ,3
VEH ,NONE    ,SENECA      ,95
VEH ,NONE    ,BROOME      ,362
VEH ,PROPANE ,YATES       ,5
VEH ,FLEX    ,CLINTON     ,57
VEH ,OTHER   ,TIOGA       ,1
VEH ,OTHER   ,ONONDAGA    ,6
VEH ,OTHER   ,LIVINGSTON  ,1
BOAT,OTHER   ,BROOME      ,35
BOAT,FLEX    ,MADISON     ,2
BOAT,OTHER   ,SENECA      ,5
BOAT,FLEX    ,PUTNAM      ,4
BOAT,GAS     ,TOMPKINS    ,2652
BOAT,GAS     ,ESSEX       ,3379
VEH ,FLEX    ,YATES       ,6
VEH ,NONE    ,ONEIDA      ,485
TRL ,GAS     ,WESTCHESTER ,1
VEH ,COMP N/G,WYOMING     ,1
BOAT,DIESEL  ,BRONX       ,113
BOAT,PROPANE ,RICHMOND    ,1
TRL ,NONE    ,NASSAU      ,20944
BOAT,GAS     ,WASHINGTON  ,2540
BOAT,ELECTRIC,FULTON      ,113
VEH ,COMP N/G,ONTARIO     ,3
VEH ,GAS     ,HAMILTON    ,4609
BOAT,PROPANE ,MADISON     ,1
VEH ,GAS     ,SUFFOLK     ,1143098
BOAT,OTHER   ,ONEIDA      ,24
VEH ,COMP N/G,ST LAWRENCE ,1
VEH ,GAS     ,ALLEGANY    ,29479
VEH ,DIESEL  ,FULTON      ,1906
BOAT,NONE    ,ORANGE      ,199
BOAT,FLEX    ,WESTCHESTER ,11
TRL ,NONE    ,LEWIS       ,5582
VEH ,FLEX    ,MONTGOMERY  ,7
VEH ,OTHER   ,ORANGE      ,179
VEH ,ELECTRIC,BRONX       ,1013
BOAT,NONE    ,CATTARAUGUS ,20
TRL ,NONE    ,CAYUGA      ,13097
BOAT,PROPANE ,OUT-OF-STATE,1
VEH ,NONE    ,LIVINGSTON  ,174
VEH ,NONE    ,SCHUYLER    ,76
VEH ,NONE    ,ONONDAGA    ,618
VEH ,NONE    ,TIOGA       ,93
VEH ,COMP N/G,SCHENECTADY ,4
TRL ,GAS     ,ORLEANS     ,1
BOAT,ELECTRIC,RENSSELAER  ,206
VEH ,PROPANE ,PUTNAM      ,2
VEH ,FLEX    ,RICHMOND    ,15
BOAT,NONE    ,SENECA      ,7
BOAT,NONE    ,BROOME      ,52
BOAT,OTHER   ,TIOGA       ,6
BOAT,FLEX    ,CLINTON     ,2
BOAT,OTHER   ,ONONDAGA    ,38
BOAT,OTHER   ,SCHUYLER    ,3
BOAT,OTHER   ,LIVINGSTON  ,5
VEH ,OTHER   ,BROOME      ,3
VEH ,FLEX    ,MADISON     ,11
VEH ,OTHER   ,SENECA      ,1
VEH ,FLEX    ,DELAWARE    ,12
BOAT,OTHER   ,SULLIVAN    ,29
TRL ,NONE    ,DUTCHESS    ,16100
VEH ,PROPANE ,WESTCHESTER ,21
VEH ,OTHER   ,JEFFERSON   ,1
VEH ,FLEX    ,OTSEGO      ,12
VEH ,GAS     ,ERIE        ,634185
VEH ,NONE    ,SULLIVAN    ,188
BOAT,GAS     ,ALBANY      ,7085
VEH ,FLEX    ,OUT-OF-STATE,75
VEH ,DIESEL  ,RENSSELAER  ,5029
BOAT,NONE    ,JEFFERSON   ,45
BOAT,OTHER   ,CATTARAUGUS ,10
TRL ,NONE    ,NIAGARA     ,21712
BOAT,GAS     ,ALLEGANY    ,1439
BOAT,DIESEL  ,FULTON      ,10
VEH ,PROPANE ,DELAWARE    ,8
VEH ,NONE    ,ORANGE      ,467
VEH ,FLEX    ,WESTCHESTER ,83
BOAT,ELECTRIC,BRONX       ,17
BOAT,OTHER   ,ORANGE      ,109
VEH ,NONE    ,CATTARAUGUS ,187
VEH ,PROPANE ,OTSEGO      ,20
VEH ,PROPANE ,OUT-OF-STATE,20
VEH ,FLEX    ,PUTNAM      ,15
VEH ,GAS     ,TOMPKINS    ,57841
VEH ,GAS     ,ESSEX       ,27148
BOAT,NONE    ,ONEIDA      ,47
BOAT,FLEX    ,YATES       ,1
VEH ,DIESEL  ,BRONX       ,9571
VEH ,GAS     ,WASHINGTON  ,45187
VEH ,ELECTRIC,FULTON      ,18
VEH ,PROPANE ,MADISON     ,11
BOAT,GAS     ,HAMILTON    ,1419
BOAT,GAS     ,SUFFOLK     ,51463
VEH ,OTHER   ,ONEIDA      ,4
BOAT,OTHER   ,COLUMBIA    ,9
VEH ,OTHER   ,SARATOGA    ,2
VEH ,GAS     ,ONTARIO     ,83640
VEH ,COMP N/G,SUFFOLK     ,288
VEH ,FLEX    ,FULTON      ,18
BOAT,GAS     ,ROCKLAND    ,2599
BOAT,NONE    ,WAYNE       ,31
BOAT,DIESEL  ,WESTCHESTER ,833
VEH ,DIESEL  ,MONTGOMERY  ,2566
BOAT,COMP N/G,WASHINGTON  ,1
VEH ,GAS     ,WYOMING     ,28586
VEH ,NONE    ,COLUMBIA    ,128
BOAT,ELECTRIC,YATES       ,18
BOAT,NONE    ,SARATOGA    ,77
VEH ,ELECTRIC,PUTNAM      ,70
VEH ,OTHER   ,WAYNE       ,1
BOAT,OTHER   ,GENESEE     ,5
BOAT,DIESEL  ,PUTNAM      ,58
VEH ,DIESEL  ,YATES       ,1285
VEH ,OTHER   ,QUEENS      ,17
BOAT,OTHER   ,SCHOHARIE   ,4
BOAT,FLEX    ,BRONX       ,4
BOAT,ELECTRIC,MONTGOMERY  ,51
VEH ,ELECTRIC,WESTCHESTER ,1949
VEH ,NONE    ,GENESEE     ,217
VEH ,NONE    ,SCHOHARIE   ,90
VEH ,COMP N/G,ALLEGANY    ,1
VEH ,GAS     ,ST LAWRENCE ,69276
BOAT,NONE    ,QUEENS      ,69
VEH ,NONE    ,NEW YORK    ,460
TRL ,NONE    ,CHENANGO    ,7928
VEH ,ELECTRIC,OUT-OF-STATE,167
BOAT,DIESEL  ,RICHMOND    ,219
BOAT,COMP N/G,ERIE        ,1
VEH ,GAS     ,MONROE      ,517336
VEH ,OTHER   ,KINGS       ,32
VEH ,COMP N/G,ALBANY      ,101
VEH ,ELECTRIC,OTSEGO      ,29
TRL ,NONE    ,CORTLAND    ,6042
VEH ,DIESEL  ,CLINTON     ,3630
BOAT,OTHER   ,NEW YORK    ,12
VEH ,GAS     ,STEUBEN     ,68864
BOAT,DIESEL  ,MADISON     ,25
TRL ,NONE    ,CHAUTAUQUA  ,16520
BOAT,NONE    ,KINGS       ,65
VEH ,ELECTRIC,DELAWARE    ,14
BOAT,ELECTRIC,ORLEANS     ,47
VEH ,DIESEL  ,ORLEANS     ,2140
BOAT,DIESEL  ,DELAWARE    ,11
VEH ,ELECTRIC,MADISON     ,39
VEH ,NONE    ,GREENE      ,87
TRL ,NONE    ,HERKIMER    ,8655
BOAT,ELECTRIC,CLINTON     ,162
BOAT,DIESEL  ,OTSEGO      ,13
BOAT,OTHER   ,GREENE      ,10
VEH ,ELECTRIC,RICHMOND    ,190
BOAT,FLEX    ,RENSSELAER  ,2
BOAT,DIESEL  ,OUT-OF-STATE,329
BOAT,GAS     ,SCHENECTADY ,4441
VEH ,PROPANE ,NEW YORK    ,5
TRL ,NONE    ,ROCKLAND    ,6113
VEH ,GAS     ,FRANKLIN    ,33093
VEH ,GAS     ,OSWEGO      ,82524
BOAT,NONE    ,BRONX       ,25
TRL ,GAS     ,WAYNE       ,1
VEH ,DIESEL  ,ONEIDA      ,8070
VEH ,ELECTRIC,CATTARAUGUS ,8
VEH ,FLEX    ,GENESEE     ,9
TRL ,GAS     ,SARATOGA    ,2
BOAT,FLEX    ,QUEENS      ,8
VEH ,ELECTRIC,ORANGE      ,197
VEH ,FLEX    ,SCHOHARIE   ,6
VEH ,OTHER   ,BRONX       ,16
VEH ,NONE    ,FULTON      ,72
BOAT,DIESEL  ,ORANGE      ,114
VEH ,PROPANE ,GREENE      ,5
VEH ,GAS     ,ULSTER      ,136068
BOAT,FLEX    ,WAYNE       ,2
VEH ,FLEX    ,COLUMBIA    ,11
BOAT,ELECTRIC,ONEIDA      ,237
BOAT,FLEX    ,SARATOGA    ,4
BOAT,DIESEL  ,CATTARAUGUS ,10
BOAT,OTHER   ,FULTON      ,7
VEH ,COMP N/G,NIAGARA     ,89
VEH ,FLEX    ,GREENE      ,15
BOAT,GAS     ,CHENANGO    ,1500
VEH ,OTHER   ,RENSSELAER  ,5
VEH ,GAS     ,CHEMUNG     ,57547
BOAT,GAS     ,CORTLAND    ,1643
VEH ,COMP N/G,DUTCHESS    ,3
BOAT,ELECTRIC,SENECA      ,22
BOAT,DIESEL  ,SULLIVAN    ,12
BOAT,ELECTRIC,BROOME      ,210
VEH ,PROPANE ,COLUMBIA    ,8
BOAT,PROPANE ,SARATOGA    ,1
VEH ,ELECTRIC,LIVINGSTON  ,27
VEH ,ELECTRIC,SCHUYLER    ,10
VEH ,DIESEL  ,JEFFERSON   ,4708
VEH ,ELECTRIC,ONONDAGA    ,241
VEH ,ELECTRIC,TIOGA       ,16
BOAT,NONE    ,RENSSELAER  ,52
TRL ,GAS     ,KINGS       ,2
TRL ,OTHER   ,MONROE      ,1
BOAT,GAS     ,CHAUTAUQUA  ,5203
BOAT,DIESEL  ,TIOGA       ,5
BOAT,ELECTRIC,JEFFERSON   ,143
VEH ,FLEX    ,NEW YORK    ,114
BOAT,DIESEL  ,ONONDAGA    ,174
BOAT,DIESEL  ,SCHUYLER    ,11
BOAT,DIESEL  ,LIVINGSTON  ,16
VEH ,DIESEL  ,BROOME      ,6431
BOAT,GAS     ,HERKIMER    ,2705
VEH ,ELECTRIC,SULLIVAN    ,33
VEH ,DIESEL  ,SENECA      ,1584
VEH ,PROPANE ,GENESEE     ,3
VEH ,PROPANE ,SCHOHARIE   ,22
BOAT,FLEX    ,KINGS       ,3
TRL ,NONE    ,SCHENECTADY ,11703
BOAT,DIESEL  ,GREENE      ,28
BOAT,OTHER   ,OTSEGO      ,8
BOAT,ELECTRIC,KINGS       ,176
VEH ,NONE    ,DELAWARE    ,135
BOAT,NONE    ,ORLEANS     ,14
VEH ,PROPANE ,ORANGE      ,109
BOAT,OTHER   ,OUT-OF-STATE,31
VEH ,COMP N/G,HERKIMER    ,10
BOAT,OTHER   ,DELAWARE    ,5
VEH ,FLEX    ,SULLIVAN    ,11
VEH ,NONE    ,OTSEGO      ,133
VEH ,PROPANE ,CATTARAUGUS ,2
VEH ,ELECTRIC,NEW YORK    ,1688
BOAT,FLEX    ,JEFFERSON   ,3
VEH ,NONE    ,OUT-OF-STATE,1100
VEH ,FLEX    ,TIOGA       ,4
BOAT,DIESEL  ,NEW YORK    ,534
VEH ,FLEX    ,ONONDAGA    ,74
VEH ,COMP N/G,CHAUTAUQUA  ,9
VEH ,FLEX    ,LIVINGSTON  ,18
VEH ,FLEX    ,SCHUYLER    ,5
BOAT,FLEX    ,BROOME      ,4
BOAT,PROPANE ,ONEIDA      ,2
BOAT,OTHER   ,MADISON     ,11
VEH ,COMP N/G,CORTLAND    ,1
BOAT,GAS     ,DUTCHESS    ,4713
BOAT,FLEX    ,SENECA      ,2
VEH ,NONE    ,RICHMOND    ,28
BOAT,NONE    ,CLINTON     ,24
TRL ,NONE    ,ALBANY      ,17606
BOAT,OTHER   ,RICHMOND    ,16
VEH ,GAS     ,WARREN      ,52645
VEH ,DIESEL  ,KINGS       ,18464
VEH ,NONE    ,MADISON     ,160
VEH ,ELECTRIC,GREENE      ,32
TRL ,NONE    ,ALLEGANY    ,6945
BOAT,GAS     ,NIAGARA     ,6601
VEH ,PROPANE ,LIVINGSTON  ,6
VEH ,PROPANE ,ONONDAGA    ,15
VEH ,NONE    ,PUTNAM      ,118
VEH ,PROPANE ,TIOGA       ,1
VEH ,GAS     ,LEWIS       ,20907
BOAT,ELECTRIC,SARATOGA    ,381
BOAT,FLEX    ,ONEIDA      ,3
VEH ,ELECTRIC,COLUMBIA    ,40
BOAT,NONE    ,YATES       ,13
BOAT,ELECTRIC,WAYNE       ,62
BOAT,DIESEL  ,GENESEE     ,13
BOAT,OTHER   ,PUTNAM      ,13
VEH ,GAS     ,CAYUGA      ,52010
VEH ,OTHER   ,YATES       ,1
