Tax Year,Place of Residence,Income Class,Disclosure,Number of All Returns,NY AGI of All Returns (in thousands) *,Deductions of All Returns (in thousands),Dependent Exemptions of All Returns (in thousands),Taxable Income of All Returns (in thousands),Tax Before Credits of All Returns (in thousands),Tax Liability of All Returns (in thousands) **,Place of Residence Sort Order,Income Class Sort Order
2014,Queens,Total,,"1,070,559","46,877,014.17","11,299,606.33","547,842.96","35,511,722.05","2,091,689.64","1,746,939.71",4,14
2014,Bronx,Total,,"616,640","19,385,425.79","5,559,529.02","361,780.32","13,560,902.73","758,348.19","482,226.93",1,14
2014,Kings,Total,,"1,138,249","56,877,626.01","11,787,784.05","608,940.23","45,595,461.37","2,848,028.68","2,338,423.78",2,14
2014,Manhattan,Total,,"885,829","177,432,813.50","11,714,664.78","283,670.65","170,057,039.82","13,132,236.96","12,317,382.20",3,14
2014,Richmond,Total,,"207,277","12,207,326.06","2,486,549.94","115,486.19","9,737,467.62","593,706.07","508,957.21",5,14
2014,Albany,Total,,"145,150","8,432,745.62","1,557,913.85","64,958.01","6,862,295.14","422,742.51","382,288.59",7,14
2014,Allegany,Total,,"18,187","755,159.66","183,365.58","9,443.94","571,176.78","33,945.50","24,742.93",8,14
2014,Broome,Total,,"90,296","4,077,235.70","913,575.05","40,303.25","3,167,903.50","187,152.46","158,290.77",9,14
2014,Cattaraugus,Total,,"32,773","1,277,701.11","324,222.73","15,642.02","948,336.69","53,976.14","41,739.25",10,14
2014,Cayuga,Total,,"34,259","1,534,274.91","349,473.06","16,239.29","1,181,572.10","69,392.58","53,698.29",11,14
2014,Chautauqua,Total,,"54,996","2,175,479.94","546,039.70","25,916.57","1,626,573.57","94,271.19","70,281.52",12,14
2014,Chemung,Total,,"37,877","1,726,715.22","387,979.87","18,256.63","1,327,083.37","77,466.88","64,062.29",13,14
2014,Chenango,Total,,"21,790","827,434.62","218,212.86","10,402.39","623,704.01","34,824.43","27,364.88",14,14
2014,Clinton,Total,,"34,839","1,473,036.83","348,608.63","15,267.42","1,129,623.76","64,511.37","53,669.26",15,14
2014,Columbia,Total,,"28,198","1,623,498.09","315,691.69","12,123.04","1,331,342.11","84,810.02","72,529.94",16,14
2014,Cortland,Total,,"20,105","840,873.19","207,680.22","9,961.98","639,054.39","36,349.69","29,039.85",17,14
2014,Delaware,Total,,"19,317","735,438.62","191,966.11","8,253.42","544,715.71","31,076.98","24,729.98",18,14
2014,Dutchess,Total,,"131,971","8,488,991.13","1,632,517.01","69,292.28","6,886,594.03","430,080.38","382,700.79",19,14
2014,Erie,Total,,"427,354","22,090,001.83","4,360,236.13","196,830.42","17,679,696.17","1,075,635.08","946,504.14",20,14
2014,Essex,Total,,"16,962","717,787.44","175,634.94","7,041.89","561,697.63","33,132.95","27,793.19",21,14
2014,Franklin,Total,,"19,134","737,000.79","185,503.48","9,369.51","554,681.57","31,885.42","24,776.05",22,14
2014,Fulton,Total,,"23,593","935,067.09","238,144.90","11,207.18","690,903.39","39,025.74","31,327.48",23,14
2014,Genesee,Total,,"27,234","1,156,464.79","274,686.62","12,779.08","884,622.87","50,169.37","41,790.56",24,14
2014,Greene,Total,,"20,889","953,669.58","214,341.51","8,853.83","739,926.65","44,171.33","38,503.73",25,14
2014,Hamilton,Total,,"2,614","96,680.17","26,924.23",813.22,"72,244.07","4,115.44","3,419.95",26,14
2014,Herkimer,Total,,"26,696","1,058,905.04","271,207.66","13,151.00","785,640.01","44,108.87","35,328.59",27,14
2014,Jefferson,Total,,"41,067","1,673,060.28","419,282.17","20,599.59","1,258,617.45","71,918.71","56,071.15",28,14
2014,Lewis,Total,,"11,070","446,060.34","116,065.91","5,991.46","333,133.85","18,636.08","14,196.53",29,14
2014,Livingston,Total,,"26,891","1,215,794.66","280,687.30","12,831.79","931,721.44","53,465.10","44,731.36",30,14
2014,Madison,Total,,"29,747","1,448,569.88","316,910.01","14,840.92","1,138,739.06","67,460.38","56,270.47",31,14
2014,Monroe,Total,,"347,006","18,625,143.91","3,748,687.53","167,159.65","14,897,237.51","907,369.88","798,330.17",32,14
2014,Montgomery,Total,,"22,197","859,309.23","222,270.59","10,968.64","634,177.29","35,583.37","27,456.62",33,14
2014,Nassau,Total,,"675,831","66,795,320.91","10,126,806.21","380,261.40","58,230,874.85","3,987,947.56","3,729,984.74",34,14
2014,Niagara,Total,,"99,726","4,294,717.71","996,430.72","44,940.40","3,286,851.80","189,787.86","162,831.69",35,14
2014,Oneida,Total,,"100,985","4,321,742.69","1,010,892.77","48,570.13","3,291,306.95","191,295.83","158,192.68",36,14
2014,Onondaga,Total,,"212,934","11,531,333.29","2,273,709.46","105,869.57","9,262,802.32","566,363.01","483,855.08",37,14
2014,Ontario,Total,,"50,857","2,812,065.19","556,770.29","24,689.51","2,261,929.37","139,020.52","119,782.52",38,14
2014,Orange,Total,,"166,109","9,972,865.95","2,109,472.62","104,588.63","7,851,499.17","481,459.76","391,029.67",39,14
2014,Orleans,Total,,"17,607","663,697.94","174,649.91","8,536.15","484,908.32","26,662.57","20,685.18",40,14
2014,Oswego,Total,,"50,851","2,150,825.47","519,552.88","25,670.47","1,617,019.63","91,751.37","76,711.92",41,14
2014,Otsego,Total,,"25,435","1,110,718.81","261,072.26","11,113.42","852,280.58","50,104.40","42,593.36",42,14
2014,Putnam,Total,,"46,886","3,822,013.85","679,640.99","25,400.00","3,158,691.19","203,966.97","181,463.63",43,14
2014,Rensselaer,Total,,"73,591","3,697,531.21","775,044.37","33,505.27","2,911,592.07","171,964.44","149,438.86",44,14
2014,Rockland,Total,,"138,543","10,596,577.94","2,067,116.43","94,322.59","8,778,851.81","570,017.72","454,883.37",45,14
2014,St. Lawrence,Total,,"40,966","1,653,724.85","409,366.16","21,084.15","1,235,867.97","69,936.58","55,920.39",46,14
2014,Saratoga,Total,,"107,902","6,928,433.91","1,240,351.22","53,266.74","5,736,770.80","354,981.40","326,501.60",47,14
2014,Schenectady,Total,,"73,772","3,732,438.23","798,868.77","35,556.55","2,912,105.97","173,203.12","151,983.84",48,14
2014,Schoharie,Total,,"13,290","550,713.84","136,148","6,124.57","416,246.92","23,820.77","19,733.84",49,14
2014,Schuyler,Total,,"8,129","331,262.02","82,958.43","3,630.63","249,678.56","14,023.61","11,453.37",50,14
2014,Seneca,Total,,"14,806","598,176.66","148,903.01","7,153.00","447,974.79","25,516.27","20,066.81",51,14
2014,Steuben,Total,,"42,390","1,941,127.24","438,143.30","21,123.35","1,496,164.68","88,264.75","72,923.41",52,14
2014,Suffolk,Total,,"730,112","55,812,241.60","10,033,815.63","400,810.96","46,178,095.77","3,032,072.05","2,824,118.22",53,14
2014,Sullivan,Total,,"31,333","1,365,183.60","341,034.20","16,342.53","1,036,463.25","60,361.38","48,354.22",54,14
2014,Tioga,Total,,"22,224","999,081.38","235,065.30","11,072.80","762,800.50","43,814.11","34,003.69",55,14
2014,Tompkins,Total,,"38,575","2,246,880.16","438,529.14","15,963.43","1,818,215.59","110,820.98","98,918.70",56,14
2014,Ulster,Total,,"80,597","4,149,040.64","908,362.26","35,775.95","3,279,477.45","198,828.91","175,747.63",57,14
2014,Warren,Total,,"32,205","1,545,676.34","340,979.21","13,456.14","1,268,567.53","77,495.52","66,649.70",58,14
2014,Washington,Total,,"27,092","1,095,716.30","278,190.99","12,581.79","822,382.01","46,218.88","35,374.69",59,14
2014,Wayne,Total,,"42,667","1,856,690.63","447,362.08","21,857.97","1,398,500.00","79,077.16","65,521.91",60,14
2014,Westchester,Total,,"454,120","66,090,475.90","6,933,467.05","262,384.88","60,099,839.27","4,399,626.47","3,995,072.51",61,14
2014,Wyoming,Total,,"17,479","743,550.76","179,026.72","8,370.48","561,877.73","31,638.92","24,903.23",62,14
2014,Yates,Total,,"10,643","421,121.13","110,384.01","5,708.55","311,852.60","17,674.20","13,282.57",63,14
2014,NYS Unclassified +,Total,,52,"3,869.43",609.373,23,"3,254.97",208.119,189.326,65,14
2014,Residence Unknown ++,Total,,"3,711","1,062,351.18","49,694.21","1,424.07","1,022,021.57","83,334.84","74,035.00",66,14
2014,"Grand Total, Full-Year Resident",Total,,"9,082,186","673,659,471.95","105,978,381.42","4,587,397.84","575,512,373.65","39,122,547.41","35,011,775.48",67,14